Dia,Hora Inicio,Hora Final,load
2015-01-01,00:00,00:30,27123.0
2015-01-01,00:30,01:00,26758.0
2015-01-01,01:00,01:30,27561.0
2015-01-01,01:30,02:00,26770.0
2015-01-01,02:00,02:30,25318.0
2015-01-01,02:30,03:00,23625.0
2015-01-01,03:00,03:30,23145.0
2015-01-01,03:30,04:00,22861.0
2015-01-01,04:00,04:30,21672.0
2015-01-01,04:30,05:00,21992.0
2015-01-01,05:00,05:30,21733.0
2015-01-01,05:30,06:00,20634.0
2015-01-01,06:00,06:30,20629.0
2015-01-01,06:30,07:00,21039.0
2015-01-01,07:00,07:30,21439.0
2015-01-01,07:30,08:00,22342.0
2015-01-01,08:00,08:30,22334.0
2015-01-01,08:30,09:00,23940.0
2015-01-01,09:00,09:30,25088.0
2015-01-01,09:30,10:00,25323.0
2015-01-01,10:00,10:30,26914.0
2015-01-01,10:30,11:00,27531.0
2015-01-01,11:00,11:30,28541.0
2015-01-01,11:30,12:00,29556.0
2015-01-01,12:00,12:30,30856.0
2015-01-01,12:30,13:00,31587.0
2015-01-01,13:00,13:30,32087.0
2015-01-01,13:30,14:00,32291.0
2015-01-01,14:00,14:30,32135.0
2015-01-01,14:30,15:00,32174.0
2015-01-01,15:00,15:30,32308.0
2015-01-01,15:30,16:00,32636.0
2015-01-01,16:00,16:30,33300.0
2015-01-01,16:30,17:00,34902.0
2015-01-01,17:00,17:30,35917.0
2015-01-01,17:30,18:00,36176.0
2015-01-01,18:00,18:30,35738.0
2015-01-01,18:30,19:00,35292.0
2015-01-01,19:00,19:30,34887.0
2015-01-01,19:30,20:00,33992.0
2015-01-01,20:00,20:30,33014.0
2015-01-01,20:30,21:00,32143.0
2015-01-01,21:00,21:30,30662.0
2015-01-01,21:30,22:00,29910.0
2015-01-01,22:00,22:30,28890.0
2015-01-01,22:30,23:00,29031.0
2015-01-01,23:00,23:30,28307.0
2015-01-01,23:30,00:00,26878.0
2015-01-02,00:00,00:30,25521.0
2015-01-02,00:30,01:00,24713.0
2015-01-02,01:00,01:30,24630.0
2015-01-02,01:30,02:00,24151.0
2015-01-02,02:00,02:30,22990.0
2015-01-02,02:30,03:00,22499.0
2015-01-02,03:00,03:30,22562.0
2015-01-02,03:30,04:00,22260.0
2015-01-02,04:00,04:30,21471.0
2015-01-02,04:30,05:00,21499.0
2015-01-02,05:00,05:30,21437.0
2015-01-02,05:30,06:00,22248.0
2015-01-02,06:00,06:30,23403.0
2015-01-02,06:30,07:00,24449.0
2015-01-02,07:00,07:30,25684.0
2015-01-02,07:30,08:00,26781.0
2015-01-02,08:00,08:30,27770.0
2015-01-02,08:30,09:00,28855.0
2015-01-02,09:00,09:30,30335.0
2015-01-02,09:30,10:00,31499.0
2015-01-02,10:00,10:30,32327.0
2015-01-02,10:30,11:00,33252.0
2015-01-02,11:00,11:30,33666.0
2015-01-02,11:30,12:00,34105.0
2015-01-02,12:00,12:30,34241.0
2015-01-02,12:30,13:00,34330.0
2015-01-02,13:00,13:30,34104.0
2015-01-02,13:30,14:00,33828.0
2015-01-02,14:00,14:30,33640.0
2015-01-02,14:30,15:00,33785.0
2015-01-02,15:00,15:30,33982.0
2015-01-02,15:30,16:00,34441.0
2015-01-02,16:00,16:30,35261.0
2015-01-02,16:30,17:00,37693.0
2015-01-02,17:00,17:30,39901.0
2015-01-02,17:30,18:00,40894.0
2015-01-02,18:00,18:30,40964.0
2015-01-02,18:30,19:00,40380.0
2015-01-02,19:00,19:30,40024.0
2015-01-02,19:30,20:00,39383.0
2015-01-02,20:00,20:30,38164.0
2015-01-02,20:30,21:00,36639.0
2015-01-02,21:00,21:30,34800.0
2015-01-02,21:30,22:00,34119.0
2015-01-02,22:00,22:30,32624.0
2015-01-02,22:30,23:00,31218.0
2015-01-02,23:00,23:30,30411.0
2015-01-02,23:30,00:00,28154.0
2015-01-03,00:00,00:30,26718.0
2015-01-03,00:30,01:00,25896.0
2015-01-03,01:00,01:30,25706.0
2015-01-03,01:30,02:00,24473.0
2015-01-03,02:00,02:30,23089.0
2015-01-03,02:30,03:00,22159.0
2015-01-03,03:00,03:30,21834.0
2015-01-03,03:30,04:00,21169.0
2015-01-03,04:00,04:30,20294.0
2015-01-03,04:30,05:00,20518.0
2015-01-03,05:00,05:30,20119.0
2015-01-03,05:30,06:00,20403.0
2015-01-03,06:00,06:30,20784.0
2015-01-03,06:30,07:00,22080.0
2015-01-03,07:00,07:30,23954.0
2015-01-03,07:30,08:00,25524.0
2015-01-03,08:00,08:30,26641.0
2015-01-03,08:30,09:00,28406.0
2015-01-03,09:00,09:30,30023.0
2015-01-03,09:30,10:00,32052.0
2015-01-03,10:00,10:30,33658.0
2015-01-03,10:30,11:00,35204.0
2015-01-03,11:00,11:30,35967.0
2015-01-03,11:30,12:00,36393.0
2015-01-03,12:00,12:30,36862.0
2015-01-03,12:30,13:00,37153.0
2015-01-03,13:00,13:30,36779.0
2015-01-03,13:30,14:00,36258.0
2015-01-03,14:00,14:30,35698.0
2015-01-03,14:30,15:00,35131.0
2015-01-03,15:00,15:30,34780.0
2015-01-03,15:30,16:00,34894.0
2015-01-03,16:00,16:30,35564.0
2015-01-03,16:30,17:00,37484.0
2015-01-03,17:00,17:30,39814.0
2015-01-03,17:30,18:00,40507.0
2015-01-03,18:00,18:30,40802.0
2015-01-03,18:30,19:00,40644.0
2015-01-03,19:00,19:30,40054.0
2015-01-03,19:30,20:00,38750.0
2015-01-03,20:00,20:30,37530.0
2015-01-03,20:30,21:00,36580.0
2015-01-03,21:00,21:30,35194.0
2015-01-03,21:30,22:00,33848.0
2015-01-03,22:00,22:30,32019.0
2015-01-03,22:30,23:00,30761.0
2015-01-03,23:00,23:30,29830.0
2015-01-03,23:30,00:00,28472.0
2015-01-04,00:00,00:30,32941.0
2015-01-04,00:30,01:00,26398.0
2015-01-04,01:00,01:30,26482.0
2015-01-04,01:30,02:00,25343.0
2015-01-04,02:00,02:30,24245.0
2015-01-04,02:30,03:00,23224.0
2015-01-04,03:00,03:30,23191.0
2015-01-04,03:30,04:00,22596.0
2015-01-04,04:00,04:30,21729.0
2015-01-04,04:30,05:00,21385.0
2015-01-04,05:00,05:30,21074.0
2015-01-04,05:30,06:00,20971.0
2015-01-04,06:00,06:30,21083.0
2015-01-04,06:30,07:00,21632.0
2015-01-04,07:00,07:30,22136.0
2015-01-04,07:30,08:00,22857.0
2015-01-04,08:00,08:30,23605.0
2015-01-04,08:30,09:00,25514.0
2015-01-04,09:00,09:30,27002.0
2015-01-04,09:30,10:00,28888.0
2015-01-04,10:00,10:30,30780.0
2015-01-04,10:30,11:00,32530.0
2015-01-04,11:00,11:30,33502.0
2015-01-04,11:30,12:00,34499.0
2015-01-04,12:00,12:30,35148.0
2015-01-04,12:30,13:00,35778.0
2015-01-04,13:00,13:30,35958.0
2015-01-04,13:30,14:00,35926.0
2015-01-04,14:00,14:30,35613.0
2015-01-04,14:30,15:00,35580.0
2015-01-04,15:00,15:30,35836.0
2015-01-04,15:30,16:00,36337.0
2015-01-04,16:00,16:30,37201.0
2015-01-04,16:30,17:00,39398.0
2015-01-04,17:00,17:30,41521.0
2015-01-04,17:30,18:00,41894.0
2015-01-04,18:00,18:30,41784.0
2015-01-04,18:30,19:00,41432.0
2015-01-04,19:00,19:30,40497.0
