pais,2015,2016,2017,2018,2019
austria,6.1 ,6.5 ,5.9 ,5.2 ,4.8 
belgica,8.7 ,7.9 ,7.2,6.0 ,5.5 
republica checa,5.1 ,4.0 ,2.9 ,2.2 ,2.0 
alemania,4.4 ,3.9 ,3.6 ,3.2 ,3.0 
dinamarca,6.3 ,6.0,5.8,5.1 ,5.0 
espana,22.1 ,19.6 ,17.2 ,15.3 ,14.1 
francia,10.3 ,10.1 ,9.4 ,9.0 ,8.4 
irlanda,9.9 ,8.4 ,6.7 ,5.8 ,5.0 
italia,12.0 ,11.7 ,11.3 ,10.6 ,9.9 
luxemburgo,6.7,6.3 ,5.5 ,5.6 ,5.6 
paises bajos,7.9 ,7.0 ,5.9 ,4.9 ,4.4 
noruega,4.7 ,4.9 ,4.4 ,4.0 ,3.9 
portugal,13.0 ,11.5 ,9.2 ,7.2 ,6.7 
suecia,7.6 ,7.1 ,6.8 ,6.5,7.0 
reino unido,5.3,4.8,4.4,4.0,3.8
